"date","pickup"
2015-01-01,48458
2015-01-02,35798
2015-01-03,52635
2015-01-04,53200
2015-01-05,40946
2015-01-06,50434
2015-01-07,56542
2015-01-08,70739
2015-01-09,69545
2015-01-10,77551
2015-01-11,76892
2015-01-12,56299
2015-01-13,58859
2015-01-14,65680
2015-01-15,64647
2015-01-16,69758
2015-01-17,76805
2015-01-18,85354
2015-01-19,50348
2015-01-20,51304
2015-01-21,58353
2015-01-22,62167
2015-01-23,69973
2015-01-24,82872
2015-01-25,73628
2015-01-26,52913
2015-01-27,19343
2015-01-28,52495
2015-01-29,65400
2015-01-30,76104
2015-01-31,94335
2015-02-01,91959
2015-02-02,73266
2015-02-03,66993
2015-02-04,69253
2015-02-05,72484
2015-02-06,86681
2015-02-07,85361
2015-02-08,80691
2015-02-09,58786
2015-02-10,62173
2015-02-11,70797
2015-02-12,78027
2015-02-13,93668
2015-02-14,104100
2015-02-15,98524
2015-02-16,82538
2015-02-17,72255
2015-02-18,70965
2015-02-19,79758
2015-02-20,100056
2015-02-21,101495
2015-02-22,89365
2015-02-23,64319
2015-02-24,78745
2015-02-25,76155
2015-02-26,79896
2015-02-27,85493
2015-02-28,90338
2015-03-01,89045
2015-03-02,56140
2015-03-03,64046
2015-03-04,75540
2015-03-05,77411
2015-03-06,75759
2015-03-07,84159
2015-03-08,80134
2015-03-09,52557
2015-03-10,62641
2015-03-11,69812
2015-03-12,69989
2015-03-13,77466
2015-03-14,90770
2015-03-15,75637
2015-03-16,53349
2015-03-17,56729
2015-03-18,70596
2015-03-19,73029
2015-03-20,89803
2015-03-21,84339
2015-03-22,79782
2015-03-23,58748
2015-03-24,62426
2015-03-25,70688
2015-03-26,75621
2015-03-27,83049
2015-03-28,89217
2015-03-29,90427
2015-03-30,61848
2015-03-31,71360
2015-04-01,72318
2015-04-02,71293
2015-04-03,79444
2015-04-04,68277
2015-04-05,65771
2015-04-06,52090
2015-04-07,62536
2015-04-08,69680
2015-04-09,76794
2015-04-10,80291
2015-04-11,80391
2015-04-12,80467
2015-04-13,55921
2015-04-14,60714
2015-04-15,65075
2015-04-16,73237
2015-04-17,83078
2015-04-18,90347
2015-04-19,90819
2015-04-20,77921
2015-04-21,66477
2015-04-22,77645
2015-04-23,85471
2015-04-24,95426
2015-04-25,108138
2015-04-26,103465
2015-04-27,64933
2015-04-28,66730
2015-04-29,71569
2015-04-30,80914
2015-05-01,90177
2015-05-02,101867
2015-05-03,95956
2015-05-04,65320
2015-05-05,70914
2015-05-06,80662
2015-05-07,82121
2015-05-08,90579
2015-05-09,98678
2015-05-10,90042
2015-05-11,69507
2015-05-12,74246
2015-05-13,81051
2015-05-14,89776
2015-05-15,97988
2015-05-16,112834
2015-05-17,115158
2015-05-18,76128
2015-05-19,81818
2015-05-20,87823
2015-05-21,93971
2015-05-22,91447
2015-05-23,79384
2015-05-24,72097
2015-05-25,61224
2015-05-26,69650
2015-05-27,80274
2015-05-28,94311
2015-05-29,97608
2015-05-30,104545
2015-05-31,104930
2015-06-01,90291
2015-06-02,94604
2015-06-03,87558
2015-06-04,92138
2015-06-05,103492
2015-06-06,101914
2015-06-07,97454
2015-06-08,75563
2015-06-09,80623
2015-06-10,85065
2015-06-11,95624
2015-06-12,104743
2015-06-13,103054
2015-06-14,94441
2015-06-15,90142
2015-06-16,84837
2015-06-17,91462
2015-06-18,97853
2015-06-19,100772
2015-06-20,105028
2015-06-21,96505
2015-06-22,74692
2015-06-23,88024
2015-06-24,89386
2015-06-25,95527
2015-06-26,101032
2015-06-27,122168
2015-06-28,117004
2015-06-29,74744
2015-06-30,77959
2015-07-01,21827
